Date,Price,Open,High,Low,Vol.,Change %
07/25/2007,1255.25,1274.9,1274.9,1255.25,232.94M,-1.54%
07/24/2007,1274.9,1293.17,1296.88,1274.9,312.32M,-1.41%
07/23/2007,1293.17,1283.17,1293.47,1280.38,200.70M,0.78%
07/20/2007,1283.17,1302.96,1303.42,1283.17,526.30M,-1.52%
07/19/2007,1302.96,1291.75,1308.39,1291.75,260.38M,0.87%
07/18/2007,1291.75,1300.28,1303.24,1289.26,218.47M,-0.66%
07/17/2007,1300.28,1311.87,1312.7,1298.93,171.73M,-0.88%
07/16/2007,1311.87,1308.76,1316.33,1306.87,153.82M,0.24%
07/13/2007,1308.76,1307.3,1321.56,1304.58,184.72M,0.11%
07/12/2007,1307.3,1284.58,1309.44,1282.77,219.11M,1.77%
07/11/2007,1284.58,1284.98,1284.98,1271.37,254.55M,-0.03%
07/10/2007,1284.98,1293.25,1302.16,1279.54,269.31M,-0.64%
07/09/2007,1293.25,1278.38,1293.26,1278.38,191.17M,1.16%
07/06/2007,1278.38,1274.07,1279.57,1271.69,137.88M,0.34%
07/05/2007,1274.07,1279.49,1283.45,1271.52,200.00M,-0.42%
07/04/2007,1279.49,1274.49,1282.36,1273.39,128.59M,0.39%
07/03/2007,1274.49,1254.49,1275.09,1254.49,257.41M,1.59%
07/02/2007,1254.49,1254.86,1256.49,1243.44,156.32M,-0.03%
06/29/2007,1254.86,1257.94,1261.46,1247.55,221.04M,-0.24%
06/28/2007,1257.94,1241.22,1258.38,1241.22,211.84M,1.35%
06/27/2007,1241.22,1244.47,1246.01,1229.76,267.64M,-0.26%
06/26/2007,1244.47,1250.16,1250.16,1234.92,230.16M,-0.46%
06/25/2007,1250.16,1252.88,1252.88,1234.71,212.16M,-0.22%
06/21/2007,1252.88,1278.52,1278.52,1251.07,265.47M,-2.01%
06/20/2007,1278.52,1276.61,1286.08,1273.98,290.19M,0.15%
06/19/2007,1276.61,1288.09,1290.56,1275.03,273.52M,-0.89%
06/18/2007,1288.09,1276.03,1288.09,1276.03,405.89M,0.95%
06/15/2007,1276.03,1267.73,1279.79,1267.49,274.17M,0.65%
06/14/2007,1267.73,1244.43,1269.26,1244.43,269.26M,1.87%
06/13/2007,1244.43,1237.4,1247.39,1226.93,240.53M,0.57%
06/12/2007,1237.4,1249.7,1259.02,1230.76,285.52M,-0.98%
06/11/2007,1249.7,1238.91,1254.07,1238.91,189.86M,0.87%
06/08/2007,1238.91,1232.8,1243.19,1211.7,377.69M,0.50%
06/07/2007,1232.8,1281.04,1281.04,1227.97,360.66M,-3.77%
06/05/2007,1281.04,1284.82,1291.31,1277.17,211.35M,-0.29%
06/04/2007,1284.82,1292.02,1295.87,1281.09,173.68M,-0.56%
06/01/2007,1292.02,1276.32,1293.28,1276.32,217.18M,1.23%
05/31/2007,1276.32,1261.27,1281.01,1261.27,250.14M,1.19%
05/30/2007,1261.27,1271.01,1271.01,1254.81,253.69M,-0.77%
05/29/2007,1271.01,1275.09,1280.49,1268.98,163.34M,-0.32%
05/28/2007,1275.09,1269.04,1276.82,1269.04,57.00M,0.48%
05/25/2007,1269.04,1273.09,1274.8,1266.93,211.38M,-0.32%
05/24/2007,1273.09,1279.17,1284.26,1267.43,239.29M,-0.48%
05/23/2007,1279.17,1255.49,1279.17,1255.18,206.20M,1.89%
05/22/2007,1255.48,1263.3,1270.9,1253.05,276.72M,-0.62%
05/21/2007,1263.3,1269.46,1278.42,1262.69,243.73M,-0.49%
05/18/2007,1269.46,1259.27,1271.84,1259.27,193.59M,0.81%
05/16/2007,1259.27,1256.64,1261.55,1253.59,126.63M,0.13%
05/15/2007,1257.6,1254.45,1261.25,1246.92,228.92M,0.25%
05/14/2007,1254.45,1240.39,1254.96,1240.39,334.48M,1.13%
05/11/2007,1240.39,1221.69,1244.31,1208.34,361.00M,1.53%
05/10/2007,1221.69,1239.7,1243.19,1221.69,244.41M,-1.45%
05/09/2007,1239.7,1240.59,1249.74,1227.77,280.37M,-0.07%
05/08/2007,1240.59,1272.62,1272.92,1238.6,257.74M,-2.52%
05/07/2007,1272.62,1264.19,1272.8,1263.7,134.89M,0.67%
05/04/2007,1264.19,1256.75,1266.05,1250.66,252.52M,0.59%
05/03/2007,1256.75,1267.79,1268.09,1249.72,780.01M,-0.87%
05/02/2007,1267.79,1273.83,1274.26,1261.16,306.31M,-0.47%
04/30/2007,1273.83,1264.61,1276.67,1262.49,126.78M,0.73%
04/27/2007,1264.61,1274.8,1274.8,1257.84,339.71M,-0.80%
04/26/2007,1274.8,1264.73,1280.09,1262.62,518.28M,0.80%
04/25/2007,1264.73,1260.99,1269,1257.26,314.99M,0.30%
04/24/2007,1260.99,1278.43,1278.43,1256.69,360.29M,-1.36%
04/23/2007,1278.43,1282.18,1285.63,1274.1,317.03M,-0.29%
04/20/2007,1282.18,1267.38,1286.94,1265.57,489.73M,1.17%
04/19/2007,1267.38,1271.75,1271.75,1252.32,313.98M,-0.34%
04/18/2007,1271.75,1278.27,1278.27,1262.53,282.54M,-0.51%
04/17/2007,1278.27,1277.64,1280.77,1267.9,232.28M,0.05%
04/16/2007,1277.64,1263.53,1277.75,1263.53,204.87M,1.12%
04/13/2007,1263.53,1253.21,1263.53,1253.18,161.74M,0.82%
04/12/2007,1253.21,1249.19,1254.84,1236.67,215.60M,0.32%
04/11/2007,1249.19,1255.73,1263.52,1246.71,360.92M,-0.52%
04/10/2007,1255.73,1242.18,1258.08,1241.88,248.53M,1.09%
04/05/2007,1242.18,1241.43,1243.98,1237.04,78.60M,0.06%
04/04/2007,1241.43,1245.57,1250.5,1236.97,213.04M,-0.33%
