"Date","Price","Open","High","Low","Vol.","Change %"
"05/01/2009","776.50","761.09","816.35","734.12","3.47B","1.65%"
"04/01/2009","763.89","652.19","784.42","641.02","4.22B","16.97%"
"03/01/2009","653.04","638.38","689.96","593.28","4.43B","1.98%"
"02/01/2009","640.39","617.50","690.51","595.62","3.66B","3.73%"
"01/01/2009","617.38","662.33","704.49","591.62","3.31B","-6.79%"
"12/01/2008","662.34","641.74","692.21","591.70","2.70B","3.21%"
"11/01/2008","641.74","638.91","716.23","560.94","3.43B","0.44%"
"10/01/2008","638.91","768.49","786.80","556.77","5.23B","-16.86%"
"09/01/2008","768.49","870.86","893.79","749.51","4.24B","-11.75%"
"08/01/2008","870.86","867.44","903.05","830.79","2.58B","0.39%"
"07/01/2008","867.44","857.65","888.40","801.54","3.30B","1.14%"
"06/01/2008","857.65","1,004.90","1,004.90","841.66","2.98B","-14.65%"
"05/01/2008","1,004.90","986.06","1,036.86","981.18","4.88B","1.91%"
"04/01/2008","986.06","952.13","1,011.23","941.04","6.58B","3.56%"
"03/01/2008","952.13","965.29","965.29","886.56","5.04B","-1.36%"
"02/01/2008","965.29","949.04","988.54","905.00","5.88B","1.71%"
"01/01/2008","949.04","1,081.44","1,081.44","875.02","6.61B","-12.24%"
"12/01/2007","1,081.44","1,106.71","1,136.58","1,058.43","3.55B","-2.28%"
"11/01/2007","1,106.71","1,183.20","1,187.14","1,046.57","6.07B","-6.46%"
"10/01/2007","1,183.20","1,221.54","1,274.23","1,138.17","8.66B","-3.14%"
"09/01/2007","1,221.54","1,213.24","1,228.06","1,143.72","4.80B","0.68%"
"08/01/2007","1,213.24","1,243.87","1,243.87","1,127.79","5.44B","-2.46%"
"07/01/2007","1,243.87","1,254.86","1,321.56","1,200.64","5.15B","-0.88%"
"06/01/2007","1,254.86","1,276.32","1,295.87","1,211.70","4.98B","-1.68%"
"05/01/2007","1,276.32","1,273.83","1,284.26","1,208.34","5.40B","0.20%"
"04/01/2007","1,273.82","1,214.41","1,286.94","1,206.58","5.21B","4.89%"
"03/01/2007","1,214.41","1,157.84","1,227.90","1,119.15","6.27B","4.89%"
"02/01/2007","1,157.84","1,185.98","1,232.82","1,152.60","6.26B","-2.37%"
"01/01/2007","1,185.98","1,147.27","1,193.44","1,128.90","5.23B","3.37%"
"12/01/2006","1,147.27","1,068.07","1,153.14","1,055.66","3.83B","7.42%"
"11/01/2006","1,068.07","1,085.56","1,121.71","1,043.79","4.62B","-1.61%"
"10/01/2006","1,085.56","1,039.34","1,106.73","1,028.15","5.85B","4.45%"
"09/01/2006","1,039.34","994.16","1,046.27","986.52","4.64B","4.55%"
"08/01/2006","994.16","946.26","998.42","921.82","4.61B","5.06%"
"07/01/2006","946.26","956.49","966.79","890.68","3.85B","-1.07%"
"06/01/2006","956.49","948.05","980.16","870.14","4.76B","0.89%"
"05/01/2006","948.05","1,036.87","1,062.81","904.94","6.37B","-8.57%"
"04/01/2006","1,036.87","1,059.94","1,076.51","1,034.03","5.84B","-2.18%"
"03/01/2006","1,059.94","995.01","1,069.60","994.69","5.75B","6.53%"
"02/01/2006","995.01","961.98","1,016.59","953.21","4.33B","3.43%"
"01/01/2006","961.98","960.01","984.02","922.67","5.57B","0.21%"
"12/01/2005","960.01","911.16","966.74","911.16","4.15B","5.36%"
"11/01/2005","911.16","882.63","926.29","880.12","4.29B","3.23%"
"10/01/2005","882.63","896.29","906.75","851.14","5.56B","-1.52%"
"09/01/2005","896.29","849.51","898.98","846.06","4.34B","5.51%"
"08/01/2005","849.51","863.84","876.06","826.87","3.15B","-1.66%"
"07/01/2005","863.84","822.49","868.80","799.78","3.91B","5.03%"
"06/01/2005","822.49","792.39","828.85","785.55","3.63B","3.80%"
"05/01/2005","792.39","749.54","796.92","749.54","4.28B","5.72%"
"04/01/2005","749.54","771.30","797.19","742.97","5.40B","-2.71%"
"03/01/2005","770.39","768.81","787.39","759.01","4.07B","0.05%"
"02/01/2005","769.97","742.28","774.52","739.98","5.62B","3.84%"
