Date,Close/Last,Open,High,Low
08/23/2023,2184.27,2184.27,2185.18,2149.32
08/22/2023,2148.78,2148.78,2166.26,2144.24
08/21/2023,2135.30,2135.30,2162.02,2134.38
08/18/2023,2123.69,2122.87,2140.27,2116.95
08/17/2023,2151.86,2151.86,2164.16,2141.84
08/16/2023,2157.51,2157.51,2165.36,2135.21
08/15/2023,2133.99,2133.99,2158.67,2126.66
08/14/2023,2134.92,2134.92,2145.13,2128.17
08/11/2023,2139.22,2138.32,2161.45,2122.93
08/10/2023,2157.36,2157.36,2171.04,2126.41
08/09/2023,2173.20,2173.20,2207.94,2157.73
08/08/2023,2189.22,2189.22,2202.78,1987.72
08/07/2023,2001.94,2001.94,2001.94,1975.56
08/04/2023,1970.75,1976.25,1988.21,1967.74
08/03/2023,1987.66,1987.66,1999.11,1982.36
08/02/2023,2004.42,2004.42,2013.33,1989.48
08/01/2023,2031.18,2031.18,2031.24,2017.05
07/31/2023,2030.75,2030.75,2031.85,1996.94
07/28/2023,1991.29,1991.58,2009.62,1986.86
07/27/2023,2014.11,2014.11,2028.33,2011.38
07/26/2023,2004.89,2004.89,2049.87,1994.32
07/25/2023,2042.82,2042.82,2049.92,2017.86
07/24/2023,2051.36,2051.36,2069.91,2047.24
07/21/2023,2064.11,2050.57,2065.71,2040.71
07/20/2023,2057.89,2057.89,2058.69,2016.05
07/19/2023,2018.18,2018.18,2034.52,2014.24
07/18/2023,2016.80,2016.80,2018.75,2004.10
07/17/2023,2015.49,2015.49,2021.60,1999.67
07/14/2023,2006.23,2011.29,2014.68,1982.09
07/13/2023,1990.12,1990.12,2008.28,1975.78
07/12/2023,1970.02,1970.02,1974.80,1932.05
07/11/2023,1962.58,1962.58,1997.44,1952.77
07/10/2023,1983.38,1983.38,1995.69,1969.23
07/07/2023,1998.34,2007.08,2011.50,1989.79
07/06/2023,2006.60,2006.60,2037.48,2003.63
07/05/2023,2035.54,2035.54,2035.54,2019.14
07/03/2023,2028.82,2030.99,2035.17,2015.67
06/30/2023,2040.33,2032.79,2047.83,2003.69
06/29/2023,1997.96,1997.96,2001.35,1987.94
06/28/2023,1995.09,1995.09,2007.70,1970.25
06/27/2023,1969.13,1969.13,1993.60,1960.63
06/26/2023,1996.53,1996.53,2022.15,1995.14
06/23/2023,2011.63,2003.04,2018.89,1980.78
06/22/2023,2017.48,2017.48,2024.08,1981.82
06/21/2023,2025.15,2025.15,2047.09,2024.66
06/20/2023,2032.42,2032.42,2037.23,2010.55
06/16/2023,2025.63,2045.19,2045.19,2025.25
06/15/2023,2052.06,2052.06,2054.24,2038.78
06/14/2023,2043.01,2043.01,2049.62,2033.67
06/13/2023,2036.31,2036.31,2050.74,2036.05
06/12/2023,2034.96,2034.96,2060.04,2034.96
06/09/2023,2036.69,2033.73,2054.20,2027.88
06/08/2023,2049.79,2049.79,2061.44,2036.00
06/07/2023,2039.83,2039.83,2069.10,2039.79
06/06/2023,2076.04,2076.04,2078.68,2043.77
06/05/2023,2027.12,2027.12,0.00,0.00
06/02/2023,2027.12,2018.89,2034.81,2008.47
06/01/2023,2035.75,2035.75,2063.18,2025.23
05/31/2023,2045.90,2045.90,2062.25,2037.04
05/30/2023,2055.69,2055.69,2082.53,2055.69
05/26/2023,2079.86,2074.71,2087.09,2064.92
05/25/2023,2060.36,2060.36,2081.20,2055.96
05/24/2023,2058.67,2058.67,2088.72,2051.65
05/23/2023,2098.40,2098.40,2142.57,2098.40
05/22/2023,2148.56,2148.56,2152.83,2133.44
05/19/2023,2106.51,0.00,0.00,0.00
05/18/2023,2106.51,0.00,0.00,0.00
05/17/2023,2106.51,2121.11,2126.94,2106.51
05/16/2023,2109.01,2109.01,2127.10,2103.91
05/15/2023,2130.72,2130.72,2145.68,2129.72
05/12/2023,2137.81,2121.85,2141.57,2102.88
05/11/2023,2105.60,2105.60,2120.97,2090.01
05/10/2023,2087.71,2087.71,2089.57,2067.46
05/09/2023,2080.18,2080.18,2088.77,2053.21
05/08/2023,2093.53,2093.53,2102.44,2055.35
05/05/2023,2031.07,0.00,0.00,0.00
05/04/2023,2031.07,2024.72,2056.66,1978.69
05/03/2023,2059.25,2059.25,2089.72,2053.95
05/02/2023,2066.38,2066.38,2084.57,2063.85
05/01/2023,2078.25,2078.25,2079.09,2066.23
04/28/2023,2062.86,2064.89,2075.06,2059.60
04/27/2023,2052.34,2052.34,2072.01,2046.32
04/26/2023,2034.57,2034.57,2082.68,2021.47
04/25/2023,2092.31,2092.31,2106.55,2087.09
04/24/2023,2100.22,2100.22,2114.41,2098.37
04/21/2023,2107.59,2083.10,2107.59,2065.16
04/20/2023,2059.39,2059.39,2069.97,2052.01
04/19/2023,2065.74,2065.74,2108.20,2050.91
04/18/2023,2105.86,2105.86,2127.94,2102.82
04/17/2023,2111.68,2111.68,2119.58,2090.97
04/14/2023,2085.25,2066.09,2089.67,2045.72
04/13/2023,2045.80,2045.80,2079.44,2031.00
04/12/2023,2020.58,2020.58,2025.06,1998.38
04/11/2023,1998.99,1998.99,2016.55,1979.18
04/10/2023,1988.05,1988.05,0.00,0.00
04/06/2023,1988.05,0.00,0.00,0.00
04/05/2023,1988.05,1992.05,1999.49,1971.97
04/04/2023,1998.19,1998.19,2013.18,1998.19
04/03/2023,2001.84,2001.84,2021.91,1995.29
03/31/2023,2013.72,2012.02,2022.12,2002.59
03/30/2023,2009.05,2009.05,2011.84,1992.10
03/29/2023,1988.71,1988.71,1989.88,1965.93
03/28/2023,1964.95,1964.95,1990.28,1962.62
03/27/2023,1976.34,1976.34,1980.68,1962.74
03/24/2023,1950.45,1933.45,1950.45,1927.53
03/23/2023,1947.61,1947.61,1950.30,1917.67
03/22/2023,1933.59,1933.59,1938.40,1916.29
03/21/2023,1917.60,1917.60,1923.52,1903.00
03/20/2023,1891.75,1891.75,1897.50,1849.47
03/17/2023,1872.88,1882.42,1909.09,1865.49
03/16/2023,1879.94,1879.94,1902.39,1846.48
03/15/2023,1891.44,1891.44,1925.18,1885.58
03/14/2023,1909.73,1909.73,1916.45,1871.73
03/13/2023,1885.68,1885.68,1917.85,1870.95
03/10/2023,1914.96,1931.52,1938.41,1910.83
03/09/2023,1948.86,1948.86,1950.27,1926.25
03/08/2023,1923.91,1923.91,1941.91,1915.01
03/07/2023,1950.67,1950.67,1968.68,1946.49
03/06/2023,1952.47,1952.47,1969.79,1950.29
03/03/2023,1952.36,1942.35,1954.38,1937.25
03/02/2023,1942.96,1942.96,1942.96,1925.16
03/01/2023,1939.14,1939.14,1947.68,1929.98
02/28/2023,1932.50,1932.50,1943.44,1926.56
02/27/2023,1945.99,1945.99,1947.68,1927.88
02/24/2023,1927.09,1931.02,1941.18,1922.34
02/23/2023,1937.31,1937.31,1946.01,1923.31
02/22/2023,1929.57,1929.57,1937.11,1920.01
02/21/2023,1943.12,1943.12,1943.40,1921.68
02/17/2023,1928.79,1930.50,1934.25,1921.04
02/16/2023,1912.67,1912.67,1930.38,1905.80
02/15/2023,1926.67,1926.67,1928.96,1908.95
02/14/2023,1927.82,1927.82,1938.93,1921.00
02/13/2023,1928.30,1928.30,1929.13,1904.05
02/10/2023,1900.80,1894.90,1912.21,1881.52
02/09/2023,1915.11,1915.11,1915.90,1904.58
02/08/2023,1908.78,1908.78,1928.59,1887.85
02/07/2023,1891.21,1891.21,1900.08,1883.78
02/06/2023,1885.72,1885.72,1886.45,1864.15
02/03/2023,1877.27,1854.35,1877.27,1826.12
02/02/2023,1838.53,1838.53,1851.99,1830.26
02/01/2023,1845.92,1845.92,1874.23,1831.95
01/31/2023,1834.53,1834.53,1846.44,1815.59
01/30/2023,1850.94,1850.94,1851.33,1823.08
01/27/2023,1833.04,1828.03,1835.79,1813.68
01/26/2023,1827.38,1827.38,1845.73,1824.10
01/25/2023,1827.74,1827.74,1862.78,1815.46
01/24/2023,1859.11,1859.11,1880.54,1856.53
01/23/2023,1871.48,1871.48,1878.81,1865.68
